trial,change_status,test_location,sample_stimulus_minus_blank_combined,sample_query_stimulus_minus_blank_combined,sample_loc0_minus_loc3_combined,first_test_target_minus_other_combined,first_test_query_same_minus_other_memory,first_test_t3_query_same_minus_other_visual,first_test_t3_query_same_minus_other_memory,first_test_t3_query_same_minus_other_combined,first_test_t4_query_same_minus_other_visual,first_test_t4_query_same_minus_other_memory,first_test_t4_query_same_minus_other_combined,second_test_target_minus_other_combined,second_test_return_from_gap_combined,second_test_query_same_minus_other_visual,second_test_query_same_minus_other_memory,second_test_query_same_minus_other_combined
30,1,0,-0.029639600420463097,0.01666904683224857,-0.038804275862396764,-0.048713054822769664,0.05113113299012184,-0.04850040376186371,8.448958396911621e-06,-0.0484919548034668,-0.0483054518699646,0.10225381702184677,0.05394836515188217,nan,nan,nan,nan,nan
31,1,0,-0.032443448879067915,0.007149934768676758,-0.014852208438561831,-0.04441220205214336,0.06841442361474037,-0.04850272834300995,1.1049211025238037e-05,-0.04849167913198471,-0.04835808277130127,0.1368177980184555,0.08845971524715424,nan,nan,nan,nan,nan
32,1,3,-0.03261719789824724,0.0055401267018169165,-0.016958605760919454,-0.04277262482266053,0.06702330149710178,-0.04794144630432129,7.348507642745972e-05,-0.04786796122789383,-0.0478309690952301,0.1339731179177761,0.086142148822546,nan,nan,nan,nan,nan
33,1,3,-0.028478666980436884,0.020875540329143405,-0.056501067883708345,-0.047263319531005266,0.04901633784174919,-0.04789361357688904,0.00019977986812591553,-0.04769383370876312,-0.04782348871231079,0.09783289581537247,0.050009407103061676,nan,nan,nan,nan,nan
34,1,3,-0.028905266634009052,0.0199443536112085,-0.020047365924618532,-0.04191894915751959,0.07014892995357513,-0.047910138964653015,-5.6721270084381104e-05,-0.047966860234737396,-0.047888025641441345,0.14035458117723465,0.0924665555357933,nan,nan,nan,nan,nan
35,1,3,-0.02842216536636144,0.021653553005307913,-0.008524676184201496,-0.04324126105072423,0.06414908170700073,-0.04787273705005646,-1.430511474609375e-06,-0.04787416756153107,-0.04777368903160095,0.12829959392547607,0.08052590489387512,nan,nan,nan,nan,nan
36,1,3,-0.030213405464131426,0.014724586973898113,0.019585641462853687,-0.04196197522287548,0.07002506591379642,-0.0479871928691864,7.897615432739258e-07,-0.04798640310764313,-0.047840580344200134,0.14004934206604958,0.09220876172184944,nan,nan,nan,nan,nan
37,1,3,-0.03131975947418297,0.010998608311638236,0.024812132511122797,-0.048421717961453226,0.044580211862921715,-0.04792705178260803,1.5050172805786133e-06,-0.047925546765327454,-0.04783405363559723,0.08915891870856285,0.04132486507296562,nan,nan,nan,nan,nan
38,1,3,-0.028736852711347183,0.020389579702168703,-0.041634984874633574,-0.04086776334845865,0.07392756454646587,-0.04798009991645813,-3.6507844924926758e-06,-0.04798375070095062,-0.04785601794719696,0.14785877987742424,0.10000276193022728,nan,nan,nan,nan,nan
39,1,3,-0.030644375949872682,0.013915057992562652,-0.052237514861779744,-0.045361358704269605,0.05658378452062607,-0.04793103039264679,-0.00010306388139724731,-0.04803409427404404,-0.04775087535381317,0.11327063292264938,0.06551975756883621,nan,nan,nan,nan,nan
40,1,3,-0.03021811750280534,0.014645908027887344,-0.010958553603657606,-0.04387745288379108,0.062350159510970116,-0.04791077971458435,7.644295692443848e-06,-0.04790313541889191,-0.047829046845436096,0.12469267472624779,0.07686362788081169,nan,nan,nan,nan,nan
41,1,3,-0.029632663157457273,0.01708484743721783,0.021451343563683167,-0.047777004862865624,0.046459684148430824,-0.04791639745235443,-1.3470649719238281e-05,-0.04792986810207367,-0.04774115979671478,0.09293283894658089,0.045191679149866104,nan,nan,nan,nan,nan
