label,grid,n_tokens,seed,condition,window,source,metric,n_trials,mean,ci95_low,ci95_high,interval_unit,interval_method
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,visual,target_minus_other_raw_peak,128,0.00028180005150109844,0.0002651895260593544,0.00029796141134283974,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,visual,target_minus_cue_peak_share,128,0.01993347416473005,0.01913192331703219,0.02074217344735586,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,visual,target_minus_other_peak_share,128,0.01147507785857069,0.010823977665626988,0.012118108165618502,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,visual,target_argmax_raw_total,128,0.0,0.0,0.0,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,visual,target_argmax_raw_peak,128,0.0,0.0,0.0,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frames5_6_mean,memory,source_total_share,128,0.6604277205196922,0.659515191825949,0.6613694946643364,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frames5_6_mean,memory,target_raw_total_quadrant_mass,128,0.1860537514103271,0.18375849895307966,0.1884006904309672,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frames5_6_mean,memory,cue_raw_total_quadrant_mass,128,0.18880970281952614,0.18697314731221013,0.19071294455879978,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frames5_6_mean,memory,target_raw_peak_patch,128,0.02624434342396853,0.024696394556076483,0.027811936724810946,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frames5_6_mean,memory,cue_raw_peak_patch,128,0.017482487890447374,0.016226433090878345,0.018839622123869047,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frames5_6_mean,memory,target_raw_peak_patch_uniform_ratio,128,5.248868684793706,4.951407964481405,5.558134865086686,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frames5_6_mean,memory,cue_raw_peak_patch_uniform_ratio,128,3.4964975780894747,3.2503315639587527,3.767101699486375,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frames5_6_mean,memory,target_conditional_total_quadrant_mass,128,0.2812710557684529,0.2777901557475467,0.28483196516025017,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frames5_6_mean,memory,cue_conditional_total_quadrant_mass,128,0.2860191095881787,0.2832383167449378,0.28887893086245087,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frames5_6_mean,memory,target_conditional_peak_patch,128,0.03947914505107011,0.03713128258615399,0.04188775160661134,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frames5_6_mean,memory,cue_conditional_peak_patch,128,0.026451400563348274,0.024557900409239698,0.02848034378759925,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frames5_6_mean,memory,target_conditional_peak_patch_uniform_ratio,128,3.9479145051070104,3.722039667674099,4.1798022089241185,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frames5_6_mean,memory,cue_conditional_peak_patch_uniform_ratio,128,2.6451400563348275,2.458969183205308,2.8440517642202034,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frames5_6_mean,memory,target_peak_patch_quadrant_share,128,0.37996957153787364,0.367223363674543,0.3921519267794219,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frames5_6_mean,memory,cue_peak_patch_quadrant_share,128,0.3184527050369269,0.3045600108340227,0.332812881290273,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frames5_6_mean,memory,target_within_quadrant_peak_ratio,128,3.1236905388046297,2.987306077513085,3.2592141301970248,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frames5_6_mean,memory,cue_within_quadrant_peak_ratio,128,2.2724043709159263,2.138518759604754,2.4139420056920757,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frames5_6_mean,memory,target_minus_cue_raw_total_mass,128,-0.0027559514091990422,-0.006494350635080082,0.0010926453648153218,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frames5_6_mean,memory,target_minus_other_raw_total_mass,128,0.02792909504053872,0.024866251191876167,0.030983003458489592,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frames5_6_mean,memory,target_minus_cue_raw_peak,128,0.008761855533521157,0.0067167175106988,0.010791454480977337,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frames5_6_mean,memory,target_minus_other_raw_peak,128,0.015269369717619458,0.0136425579702518,0.016935882790691418,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frames5_6_mean,memory,target_minus_cue_peak_share,128,0.061516866500946725,0.036389329564722975,0.0864348778349888,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frames5_6_mean,memory,target_minus_other_peak_share,128,0.1732927620504982,0.15637617441048876,0.1898522816617834,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frames5_6_mean,memory,target_argmax_raw_total,128,0.4453125,0.359375,0.53125,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frames5_6_mean,memory,target_argmax_raw_peak,128,0.7890625,0.71875,0.859375,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frames5_6_mean,visual,source_total_share,128,0.33957227977626303,0.3386593417655927,0.3404867261930363,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frames5_6_mean,visual,target_raw_total_quadrant_mass,128,0.08239733430175988,0.08214190835745576,0.08265876149955247,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frames5_6_mean,visual,cue_raw_total_quadrant_mass,128,0.08373672240371377,0.08340274910575438,0.08408429597797991,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frames5_6_mean,visual,target_raw_peak_patch,128,0.00693079708617006,0.006900978034946092,0.006959298556876092,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frames5_6_mean,visual,cue_raw_peak_patch,128,0.006108920419137576,0.006089407193303487,0.006129154375958024,held-out trials,percentile bootstrap (10000 draws)
